READER_ID,ATD_SENSOR_ID,KITS_ID,ATD_LOCATION_ID,MODIFIED_DATE,SENSOR_STATUS,TURN_ON_DATE,SENSOR_TYPE,SENSOR_MFG,COA_INTERSECTION_ID,PRIMARY_ST_SEGMENT_ID,CROSS_ST_SEGMENT_ID,LANDMARK,PRIMARY_ST_AKA,CROSS_ST_AKA,SIGNAL_ENG_AREA,COUNCIL_DISTRICT,JURISDICTION,LOCATION_TYPE,LOCATION_NAME,PRIMARY_ST,CROSS_ST,PRIMARY_ST_BLOCK,COUNTY,CROSS_ST_BLOCK,Location,IP_COMM_STATUS,COMM_STATUS_DATETIME_UTC,LOCATION_LATITUDE,LOCATION_LONGITUDE
lamar_koenig,78,,LOC16-000020,,TURNED_ON,,BLUETOOTH,,5159119,,,,,,NORTHEAST,"7,4",,ROADWAY,KOENIG LN / LAMAR BLVD,KOENIG LN,LAMAR BLVD,600,,5630,"(30.325943, -97.7263336)",ONLINE,03/29/2018 08:35:00 AM +0000,30.325943,-97.7263336
riverside_plesant_valley,99,,LOC16-001920,,TURNED_ON,,BLUETOOTH,,5159771,,,,,,SOUTHWEST,3,,ROADWAY,PLEASANT VALLEY RD / RIVERSIDE DR,PLEASANT VALLEY RD,RIVERSIDE DR,1950,,2512,"(30.2341137, -97.7228088)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2341137,-97.7228088
elroy_mcangus,48,,LOC16-007025,,TURNED_ON,,BLUETOOTH,,5167173,,,,,,SOUTHEAST,2,,ROADWAY,ELROY RD / HEINE FARM RD,ELROY RD,HEINE FARM RD,7200,,7113,"(30.153975, -97.639766)",ONLINE,04/18/2018 08:35:00 AM +0000,30.153975,-97.639766
cap_tx_hwy_walsh_tarlton,29,,LOC16-004310,,TURNED_ON,,BLUETOOTH,,5149237,,,,,,SOUTHWEST,8,,ROADWAY,CAPITAL OF TEXAS HWY / WALSH TARLTON LN,CAPITAL OF TEXAS HWY,WALSH TARLTON LN,2430,,2715,"(30.2579861, -97.8122482)",ONLINE,04/26/2018 08:35:00 AM +0000,30.2579861,-97.8122482
fm2222_rm620,55,,LOC16-004300,,TURNED_ON,,BLUETOOTH,,5145335,,,,,,NORTHWEST,6,,ROADWAY,FM 620 RD / 2222 RD,FM 620 RD,FM 2222 RD,7100,,10801,"(30.4036922, -97.8540649)",OFFLINE,05/12/2018 08:35:00 AM +0000,30.4036922,-97.8540649
anderson_mill_spicewood_parkway,12,,LOC16-004280,,TURNED_ON,,BLUETOOTH,,5149246,,,,,,NORTHWEST,6,,ROADWAY,ANDERSON MILL RD / SPICEWOOD PKWY,ANDERSON MILL RD,SPICEWOOD PKWY,10407,,11610,"(30.4471569, -97.8072357)",ONLINE,03/29/2018 08:35:00 AM +0000,30.4471569,-97.8072357
anderson_mill_us183,13,,LOC16-002950,,TURNED_ON,,BLUETOOTH,,5150772,,,,,,NORTHWEST,6,,ROADWAY,ANDERSON MILL RD / 183 HWY SVRD,ANDERSON MILL RD,US 183 HWY SVRD,9320,,13437,"(30.4488926, -97.7900314)",ONLINE,03/29/2018 08:35:00 AM +0000,30.4488926,-97.7900314
benwhite_montopolis,14,,LOC16-002490,,TURNED_ON,,BLUETOOTH,,5161016,,,,,,SOUTHEAST,"3,2",,ROADWAY,BEN WHITE BLVD SVRD / MONTOPOLIS DR,BEN WHITE BLVD SVRD,MONTOPOLIS DR,6304,,3000,"(30.2126865, -97.7120972)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2126865,-97.7120972
burnet_45th,17,,LOC16-000445,,TURNED_ON,,BLUETOOTH,,5156974,,,,,,CENTRAL,"10,7,9",,ROADWAY,BURNET RD / 45TH ST,BURNET RD,45TH ST,4500,,1401,"(30.3154011, -97.7415695)",ONLINE,03/29/2018 08:35:00 AM +0000,30.3154011,-97.7415695
6th_ih35,6,,LOC16-001645,,TURNED_ON,,BLUETOOTH,,5158201,,,,,,CENTRAL,"3,9",,ROADWAY,6TH ST / 35 SVRD,6TH ST,IH 35 SVRD,700,,600,"(30.2658806, -97.7350006)",OFFLINE,05/13/2018 08:35:00 AM +0000,30.2658806,-97.7350006
cesar_chavez_br_reynolds,32,,LOC16-001130,,TURNED_ON,,BLUETOOTH,,5154951,,,,,,CENTRAL,9,,ROADWAY,CESAR CHAVEZ ST / B R REYNOLDS DR,CESAR CHAVEZ ST,B R REYNOLDS DR,1000,,100,"(30.266964, -97.7570953)",ONLINE,03/29/2018 08:35:00 AM +0000,30.266964,-97.7570953
lamar_braker,76,,LOC16-002300,,TURNED_ON,,BLUETOOTH,,5163282,,,,,,NORTHEAST,"7,4",,BUILDING,BRAKER LN / LAMAR BLVD,BRAKER LN,LAMAR BLVD,700,,11300,"(30.3819351, -97.6863708)",ONLINE,05/12/2018 08:35:00 AM +0000,30.3819351,-97.6863708
,151,3,LOC17-010410,07/03/2017 03:06:00 PM +0000,TURNED_ON,05/05/2014 05:00:00 AM +0000,RADAR,Wavetronix,5156224,,,,,,CENTRAL,9,,ROADWAY, LAMAR BLVD / SHOAL CREEK BLVD, LAMAR BLVD, SHOAL CREEK BLVD,2600,,2710,"(30.292767, -97.74719)",ONLINE,04/15/2018 08:35:00 AM +0000,30.292767,-97.74719
,152,4,LOC17-010415,07/03/2017 03:13:00 PM +0000,TURNED_ON,03/05/2015 06:00:00 AM +0000,RADAR,Wavetronix,,,,Congress Bridge,,,SOUTHWEST,9,,ROADWAY,100 BLK S CONGRESS AVE (Congress Bridge), CONGRESS AVE,  ,100,,,"(30.259791, -97.746034)",ONLINE,03/29/2018 08:35:00 AM +0000,30.259791,-97.746034
,153,14,LOC16-007265,07/03/2017 03:28:00 PM +0000,TURNED_ON,05/05/2015 05:00:00 AM +0000,RADAR,Wavetronix,,,,South of Barton Springs Rd,,,SOUTHWEST,5,,ROADWAY,400 BLK AZIE MORTON RD (South of Barton Springs Rd), AZIE MORTON RD,  ,400,,,"(30.264245, -97.765802)",ONLINE,03/29/2018 08:35:00 AM +0000,30.264245,-97.765802
