"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 14,761 Crashes containing 33,396 Units and 44,105 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Distracted Driving Crashes"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14215058","Not Injured","2040","2015","Thursday","30.19345036","-97.77865674","S CONGRESS AVE","6667"
"14215061","Not Injured","1307","2015","Thursday","30.43523475","-97.76703245","MCNEIL DR","NO DATA"
"14233385","Possible Injury","2251","2015","Thursday","30.23126479","-97.79192245","VICTORY DR","NO DATA"
"14233386","Not Injured","1238","2015","Thursday","30.18366894","-97.79108383","ELDERBERRY DR","7861"
"14215059","Possible Injury","0712","2015","Friday","30.42712338","-97.75507692","US0183","NO DATA"
"14218332","Non-Incapacitating Injury","1602","2015","Friday","No Data","No Data","US0183","NO DATA"
"14218337","Not Injured","2130","2015","Friday","30.21513224","-97.71038779","E OLTORF ST","6296"
"14233566","Possible Injury","0824","2015","Friday","30.19226538","-97.83615361","DAVIS LN","3024"
"14233604","Possible Injury","1402","2015","Friday","30.26857741","-97.77734106","SL0001","NO DATA"
"14233606","Not Injured","2057","2015","Friday","30.3032551","-97.71437569","IH0035","NO DATA"
"14235687","Not Injured","1118","2015","Friday","30.26143292","-97.69820875","SPRINGDALE RD","924"
"14237745","Not Injured","1131","2015","Friday","30.33776375","-97.75767792","RM2222","3413"
"14240244","Non-Incapacitating Injury","1219","2015","Friday","30.43239475","-97.77547244","SPICEWOOD SPRINGS RD","8600"
"14243120","Not Injured","1406","2015","Friday","30.23229537","-97.72036267","E RIVERSIDE DR","NO DATA"
"14243721","Non-Incapacitating Injury","2212","2015","Friday","30.27724478","-97.77050246","LAKE AUSTIN BLVD","2198"
"14244831","Not Injured","1330","2015","Friday","30.33779476","-97.71894247","N LAMAR BLVD","NO DATA"
"14318778","Possible Injury","1547","2015","Friday","30.40846756","-97.71587538","SL0001","NO DATA"
"14218384","Not Injured","0617","2015","Saturday","30.35923476","-97.64902248","SPRINKLE CUT OFF RD","10799"
"14218537","Possible Injury","2327","2015","Saturday","30.24237845","-97.71729309","S PLEASANT VALLEY RD","1020"
"14226916","Possible Injury","1328","2015","Saturday","No Data","No Data","N LAMAR BLVD","NO DATA"
"14227043","Non-Incapacitating Injury","2314","2015","Saturday","30.33437476","-97.69148247","ANDERSON LN E","NO DATA"
"14227048","Incapacitating Injury","1216","2015","Saturday","30.43934649","-97.6686982","IH0035","NO DATA"
"14233450","Not Injured","1431","2015","Saturday","No Data","No Data","SH0360","NO DATA"
"14235637","Possible Injury","2037","2015","Saturday","30.36370618","-97.69841363","W RUNDBERG LN","NO DATA"
"14240251","Not Injured","0244","2015","Saturday","30.3082514","-97.71115475","IH0035","NO DATA"
"14257724","Possible Injury","2252","2015","Saturday","30.31009477","-97.66720248","MANOR RD","NO DATA"
"14298641","Possible Injury","2015","2015","Saturday","30.39539832","-97.66553284","YAGER LN E","496"
"14495531","Possible Injury","1114","2015","Saturday","30.19163302","-97.77379182","E WILLIAM CANNON DR","545"
"14233643","Not Injured","1222","2015","Sunday","30.23870609","-97.78922797","SL0343","3785"
"14233689","Not Injured","1618","2015","Sunday","30.22662646","-97.88973409","RM1826","7986"
"14233696","Non-Incapacitating Injury","1814","2015","Sunday","30.27379661","-97.69507959","OAK SPRINGS DR","3569"
"14237786","Not Injured","2306","2015","Sunday","No Data","No Data","FAIRFIELD DR","NO DATA"
"14241417","Not Injured","1600","2015","Sunday","30.23717907","-97.79861994","SL0360","NO DATA"
"14359890","Possible Injury","1144","2015","Sunday","No Data","No Data","E RIVERSIDE DR","NO DATA"
"14218574","Not Injured","0204","2015","Monday","30.21601611","-97.74085377","SH0071","NO DATA"
"14219178","Possible Injury","1254","2015","Monday","30.32326477","-97.73397246","GROVER AVE","5299"
"14219217","Not Injured","1640","2015","Monday","30.3519875","-97.7155411","ANDERSON SQ","8016"
"14222729","Not Injured","2327","2015","Monday","30.23368183","-97.74122189","IH0035","NO DATA"
"14230732","Non-Incapacitating Injury","1517","2015","Monday","30.20657118","-97.71872037","BURLESON RD","6026"
"14236941","Not Injured","1727","2015","Monday","30.37848019","-97.7384053","SL0001","NO DATA"
"14248208","Not Injured","0547","2015","Monday","30.37690526","-97.67617257","IH0035","NO DATA"
"14221089","Non-Incapacitating Injury","0651","2015","Tuesday","30.39535915","-97.74636173","US0183","NO DATA"
"14221091","Possible Injury","0733","2015","Tuesday","30.21357668","-97.85551886","SL0001","NO DATA"
"14221637","Possible Injury","1714","2015","Tuesday","30.37060956","-97.69117992","MASTERSON PASS","584"
"14222728","Not Injured","1535","2015","Tuesday","30.44242474","-97.74641245","MCNEIL DR","NO DATA"
"14222730","Not Injured","1838","2015","Tuesday","30.39563107","-97.84706222","RM2222","10800"
"14222731","Not Injured","1915","2015","Tuesday","30.39919303","-97.6705463","TECH RIDGE BLVD","NO DATA"
"14222902","Possible Injury","0824","2015","Tuesday","30.41491236","-97.74609735","US0183","11595"
"14226535","Not Injured","1908","2015","Tuesday","30.23309964","-97.87529291","US0290","NO DATA"
"14226850","Not Injured","1210","2015","Tuesday","30.2532481","-97.69749171","E 7TH ST","5106"
"14233602","Not Injured","1712","2015","Tuesday","30.24784478","-97.76065246","MARY ST W","900"
"14248238","Possible Injury","2013","2015","Tuesday","30.24344328","-97.78255891","SL0343","2911"
"14252219","Non-Incapacitating Injury","1331","2015","Tuesday","30.34743012","-97.71213957","US0183","NO DATA"
"14223486","Not Injured","0854","2015","Wednesday","No Data","No Data","FAR WEST BLVD","NO DATA"
"14224337","Not Injured","1741","2015","Wednesday","30.21945612","-97.74954577","IH0035","NO DATA"
"14225144","Not Injured","1556","2015","Wednesday","30.28490984","-97.72604698","IH0035","NO DATA"
"14226579","Not Injured","1354","2015","Wednesday","30.28793478","-97.74463246","RIO GRANDE ST","2399"
"14233698","Not Injured","1840","2015","Wednesday","30.44255272","-97.74606096","MCNEIL DR","NO DATA"
"14234736","Not Injured","1750","2015","Wednesday","30.31576304","-97.7142611","AIRPORT BLVD","5348"
"14236944","Non-Incapacitating Injury","1744","2015","Wednesday","30.32566565","-97.67303358","US0290","NO DATA"
"14237788","Not Injured","1842","2015","Wednesday","30.37560028","-97.73133021","US0183","NO DATA"
"14241512","Not Injured","2223","2015","Wednesday","30.26789767","-97.74287096","CONGRESS AVE","583"
"14245753","Not Injured","0030","2015","Wednesday","30.27608139","-97.73682342","E 15TH ST","NO DATA"
"14279396","Not Injured","1700","2015","Wednesday","30.14222529","-97.79207838","PINEHURST DR","10709"
"14225549","Non-Incapacitating Injury","0803","2015","Thursday","30.35058151","-97.79648246","SL0360","NO DATA"
"14226340","Non-Incapacitating Injury","1246","2015","Thursday","30.37702551","-97.72554215","BURNET RD","9287"
"14237783","Not Injured","0544","2015","Thursday","30.35442573","-97.73610751","NORTHCROSS DR","7699"
"14237827","Not Injured","1738","2015","Thursday","No Data","No Data","N MOPAC EXPY","NO DATA"
"14241559","Not Injured","1558","2015","Thursday","30.33283681","-97.73562652","RM2222","1713"
"14279398","Possible Injury","1728","2015","Thursday","30.27272478","-97.74845246","W 9TH ST","700"
"14226789","Non-Incapacitating Injury","0848","2015","Friday","30.29039404","-97.72249769","IH0035","NO DATA"
"14227234","Not Injured","2008","2015","Friday","30.22296847","-97.76391394","US0290","NO DATA"
"14230807","Not Injured","2300","2015","Friday","30.23262569","-97.72131322","E RIVERSIDE DR","NO DATA"
"14231119","Possible Injury","1420","2015","Friday","30.18425085","-97.77480681","IH0035","NO DATA"
"14233515","Not Injured","1502","2015","Friday","30.33307335","-97.70397365","IH0035","NO DATA"
"14238599","Possible Injury","2027","2015","Friday","30.44848474","-97.66177247","W PECAN ST","2999"
"14241552","Possible Injury","1525","2015","Friday","30.37489469","-97.72992916","US0183","NO DATA"
"14248280","Possible Injury","1615","2015","Friday","30.41423399","-97.848656","RM0620","NO DATA"
"14251248","Incapacitating Injury","0652","2015","Friday","No Data","No Data","RENTAL CAR LN","NO DATA"
"14251252","Non-Incapacitating Injury","1644","2015","Friday","30.4735532","-97.78075765","SH0045","NO DATA"
"14279899","Not Injured","1929","2015","Friday","30.35806933","-97.68814856","IH0035","NO DATA"
